shipment_id,origin_warehouse,destination_city,destination_state,carrier,damage_reported,delivery_date,ship_date,weight_kg,weight_kg_cleaned,freight_cost
SHP-1019,Warehouse A,Atlanta,GA,Fastfreight,No,Not Yet Delivered,2024-02-22,165.0,165.0,540.0
SHP-1001,Warehouse A,Dallas,TX,Fastfreight,No,2024-01-14,2024-01-10,120.5,120.5,450.0
SHP-1010,Warehouse A,Dallas,TX,Fastfreight,No,2024-02-05,2024-02-01,175.3,175.3,590.0
SHP-1023,Warehouse A,Dallas,TX,Fastfreight,Yes,2024-03-09,2024-03-05,120.5,120.5,450.0
SHP-1015,Warehouse A,Houston,TX,Fastfreight,No,2024-02-16,2024-02-12,98.4,98.4,370.0
SHP-1005,Warehouse A,Houston,TX,Quickship,Yes,2024-01-20,,-45.2,45.2,280.0
SHP-1002,Warehouse B,Los Angeles,CA,Speedyhaul,No,2024-01-11,2024-01-12,85.3,85.3,320.0
SHP-1012,Warehouse B,Los Angeles,CA,Speedyhaul,No,2024-02-10,2024-02-05,85.3,85.3,320.0
SHP-1024,Warehouse B,Los Angeles,CA,Speedyhaul,No,March 12 2024,March 7 2024,130.2,130.2,460.0
SHP-1009,Warehouse B,Miami,FL,Speedyhaul,,2024-02-01,2024-01-25,88.7,88.7,345.0
SHP-1020,Warehouse B,Miami,FL,Speedyhaul,No,2024-03-02,2024-02-25,72.1,72.1,265.0
SHP-1006,Warehouse B,Phoenix,AZ,Speedyhaul,No,2024-01-23,2024-01-18,95.0,95.0,
SHP-1016,Warehouse B,Phoenix,AZ,Speedyhaul,Yes,2024-02-19,2024-02-14,95.0,95.0,15000.0
SHP-1004,Warehouse C,Chicago,IL,Fastfreight,,01/19/2024,01/15/2024,200.0,200.0,610.0
SHP-1021,Warehouse C,Chicago,IL,Fastfreight,No,2024-03-05,2024-03-01,190.0,190.0,600.0
SHP-1008,Warehouse C,Denver,CO,Fastfreight,No,2024/01/27,2024/01/22,150.0,150.0,520.0
SHP-1017,Warehouse C,Denver,CO,Quickship,,2024-02-23,2024-02-18,0.0,,0.0
SHP-1025,Warehouse C,San Francisco,CA,Quickship,No,2024-03-15,2024-03-10,145.9,145.9,500.0
SHP-1013,Warehouse C,Unknown,IL,Fastfreight,Yes,2024-02-12,2024-02-08,225.0,225.0,670.0
SHP-1011,Warehouse D,Portland,OR,Quickship,No,2024-02-08,2024-02-03,60.0,60.0,210.0
SHP-1022,Warehouse D,Portland,OR,Quickship,No,2024-03-08,2024-03-03,55.4,55.4,195.0
SHP-1014,Warehouse D,San Francisco,CA,Quickship,No,Feb 15 2024,Feb 10 2024,140.6,140.6,485.0
SHP-1007,Warehouse D,Seattle,WA,Quickship,Yes,2024-01-25,2024-01-20,310.8,310.8,980.0
SHP-1018,Warehouse D,Seattle,WA,Quickship,No,2024-02-25,2024-02-20,310.8,310.8,980.0
